Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
23,31,24,32,29,12,26,28,32
37,46,28,43,44,34,27,38,46
29,32,17,37,35,21,20,2,37
25,29,22,28,27,16,15,17,29
31,32,22,31,32,33,12,22,33
47,38,39,44,48,23,23,35,48
29,34,22,34,34,20,14,15,34
42,39,32,42,44,36,10,25,44
38,39,28,39,39,32,10,30,39
29,25,15,26,30,25,16,30,30
39,40,39,40,44,38,26,39,44
23,29,25,26,29,10,15,21,29
17,26,24,26,26,22,12,21,26
29,30,27,31,30,18,8,28,31
29,39,36,39,36,20,39,8,39
34,36,30,35,36,36,30,32,36
20,50,25,50,49,15,31,48,50
22,57,49,53,58,55,55,45,58
26,44,20,37,43,18,18,37,44
44,38,19,42,44,41,27,36,44
47,46,19,49,48,33,49,40,49
10,31,22,31,31,27,15,25,31
30,30,16,25,28,24,16,19,30
29,38,36,35,42,42,35,36,42
29,29,22,30,30,17,27,19,30
27,33,22,34,35,15,15,30,35
34,32,34,34,32,27,25,29,34
14,27,28,27,28,12,12,11,28
25,24,20,25,18,24,21,15,25
13,33,26,34,34,14,32,29,34
31,31,26,31,31,30,5,18,31
30,30,23,25,30,9,16,21,30
35,37,19,34,36,33,15,25,37
32,34,20,34,33,11,21,27,34
24,24,15,21,24,18,21,18,24
11,36,17,35,36,30,7,30,36
19,28,23,29,27,17,4,15,29
32,31,22,31,32,12,7,24,32
36,39,24,40,41,39,6,28,41
28,28,21,28,27,18,17,23,28
28,27,28,29,30,26,27,28,30
30,36,20,38,39,38,18,33,39
34,32,32,32,28,17,29,34,34
21,31,30,31,33,15,10,23,33
37,40,22,37,40,38,16,10,40
21,31,22,30,28,19,6,29,31
30,31,20,32,31,25,12,21,32
24,24,19,23,22,21,20,19,24
42,43,21,44,45,41,31,43,45
10,25,25,24,23,18,19,7,25
25,27,17,27,25,25,7,10,27
26,34,29,28,36,34,36,33,36
23,26,16,25,17,19,17,25,26
46,46,22,46,45,44,34,46,46
31,28,13,31,31,20,28,7,31
18,28,13,29,27,29,16,24,29
16,42,23,41,42,22,21,39,42
30,42,22,40,42,39,18,41,42
38,39,38,40,40,35,38,2,40
51,52,37,53,53,33,52,21,53
26,26,25,29,30,23,7,16,30
38,35,35,38,39,27,11,34,39
35,36,36,37,37,24,16,36,37
13,32,25,31,30,31,7,10,32
31,33,29,31,33,19,3,19,33
4,40,34,39,40,37,20,25,40
31,36,24,34,36,21,13,5,36
31,32,27,29,33,24,9,19,33
30,33,33,34,34,22,22,3,34
11,37,18,33,36,36,34,24,37
23,27,21,26,27,12,11,23,27
38,40,18,34,42,6,34,37,42
28,30,25,30,31,24,24,20,31
41,34,27,42,43,13,9,32,43
27,37,27,32,38,26,18,37,38
34,29,25,33,33,19,14,30,34
20,30,19,26,24,25,27,4,30
16,26,22,26,26,26,14,15,26
32,33,16,33,27,19,14,30,33
23,36,23,32,33,30,14,25,36
40,40,41,38,42,38,25,36,42
45,55,46,54,55,38,7,41,55
42,41,21,41,42,22,35,8,42
16,30,21,34,32,24,6,6,34
33,36,35,35,37,19,36,34,37
38,43,36,42,37,41,12,43,43
8,29,23,31,31,30,7,26,31
26,37,21,42,42,41,35,39,42
31,34,22,33,36,23,14,3,36
42,41,29,39,43,41,31,27,43
22,27,23,26,27,24,11,8,27
35,36,34,34,34,36,7,36,36
32,34,20,32,34,33,9,23,34
37,38,37,37,36,21,37,3,38
44,44,33,42,41,36,37,39,44
30,29,30,27,31,27,27,25,31
36,36,17,32,35,17,5,13,36
24,27,23,27,27,22,22,12,27
29,31,20,28,32,17,11,2,32
