Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
25,36,38,50,50,24,26,47,50
34,51,30,49,50,43,15,42,51
26,27,26,26,28,21,23,27,28
46,45,28,42,48,38,17,47,48
7,32,30,32,33,24,19,2,33
26,27,19,27,23,21,5,20,27
34,33,27,34,35,33,35,26,35
26,46,31,45,39,41,32,43,46
2,24,22,24,25,14,22,12,25
32,31,21,32,30,13,32,5,32
33,30,22,32,34,32,32,33,34
30,32,22,32,32,32,30,30,32
28,29,21,30,30,29,10,21,30
33,34,27,30,32,34,14,24,34
34,49,33,50,50,23,47,43,50
47,42,52,52,50,35,39,45,52
1,33,30,34,34,24,14,10,34
38,38,29,40,37,30,40,33,40
27,26,25,25,23,20,19,8,27
24,26,23,23,26,23,13,3,26
44,36,37,43,45,41,39,40,45
30,35,33,34,31,14,8,6,35
39,38,40,33,35,21,21,39,40
34,37,28,37,35,36,19,34,37
82,83,66,84,84,79,20,77,84
41,42,23,43,44,39,39,40,44
22,44,27,44,44,41,12,22,44
37,35,16,36,37,33,33,31,37
42,35,20,41,43,34,30,40,43
3,30,28,28,31,30,30,12,31
28,34,28,30,35,22,22,32,35
22,33,22,28,32,29,26,30,33
36,45,33,39,46,44,46,45,46
22,34,19,34,36,27,14,18,36
53,55,50,55,56,44,48,52,56
39,39,37,40,42,42,34,36,42
22,30,31,31,31,29,14,20,31
25,30,22,24,30,21,14,27,30
34,43,29,51,51,52,48,43,52
20,29,18,30,30,26,26,28,30
31,30,26,30,30,10,9,27,31
44,46,41,47,47,39,22,39,47
14,43,21,43,43,31,41,40,43
10,48,45,50,49,46,24,45,50
23,30,15,25,32,18,13,26,32
30,35,31,32,36,29,10,33,36
14,24,20,26,26,21,7,24,26
29,29,23,30,31,18,24,27,31
31,32,32,32,32,32,26,20,32
28,30,20,30,29,30,14,26,30
41,43,22,45,44,44,46,43,46
27,28,17,28,28,24,10,6,28
34,32,25,29,34,29,14,26,34
25,35,21,31,35,33,19,10,35
35,34,31,33,32,28,9,31,35
9,36,30,35,36,36,25,25,36
38,43,39,38,44,39,14,20,44
25,30,23,31,31,30,27,21,31
32,36,30,35,38,24,19,32,38
36,41,25,41,41,40,7,18,41
29,35,29,33,34,35,17,26,35
33,38,37,38,37,39,15,35,39
16,22,17,22,22,21,16,4,22
36,34,17,36,36,21,32,22,36
27,29,24,29,30,15,9,8,30
29,36,18,36,36,17,12,25,36
34,34,15,31,35,20,19,32,35
29,35,28,34,34,13,18,36,36
27,31,25,32,32,19,11,12,32
29,31,25,31,31,19,17,13,31
39,41,38,42,42,36,15,37,42
28,29,28,30,27,26,22,24,30
19,34,31,30,34,29,23,15,34
44,46,13,42,47,23,11,44,47
41,41,26,39,42,39,22,41,42
30,38,15,38,38,20,15,2,38
17,28,25,28,23,23,12,26,28
