Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
29,29,28,27,26,18,8,11,29
25,29,25,29,29,22,15,24,29
26,32,23,30,31,19,15,24,32
29,33,22,32,33,22,14,28,33
26,30,33,33,32,27,14,21,33
41,48,28,50,43,45,44,51,51
41,41,24,42,39,40,32,41,42
33,31,25,34,33,27,27,34,34
26,34,28,46,45,28,42,43,46
25,36,25,34,36,28,35,36,36
37,40,27,39,40,39,15,33,40
51,51,27,51,48,48,48,50,51
27,29,28,28,27,14,18,29,29
16,22,17,21,21,20,10,16,22
45,49,27,55,55,55,43,50,55
34,43,15,42,42,29,7,13,43
25,29,25,27,29,13,19,25,29
36,38,20,38,37,35,34,23,38
33,33,23,33,32,30,30,22,33
35,38,20,40,41,21,9,26,41
34,36,25,40,40,23,10,32,40
33,33,22,33,30,28,33,31,33
40,41,36,34,41,23,16,37,41
17,34,27,35,34,35,32,27,35
33,42,28,39,43,30,7,27,43
26,29,19,30,31,31,19,2,31
26,40,33,37,41,28,10,34,41
45,52,27,43,52,47,12,51,52
48,61,41,60,59,54,48,61,61
27,39,16,34,39,19,38,19,39
19,26,23,27,26,16,10,11,27
37,39,24,39,40,28,18,29,40
41,39,28,38,40,22,41,27,41
24,26,26,27,25,15,16,22,27
38,42,34,39,42,23,17,39,42
21,26,19,26,26,23,17,23,26
40,43,32,45,46,41,22,4,46
48,50,35,49,51,46,17,38,51
19,29,36,34,36,24,16,2,36
27,29,23,28,27,11,24,26,29
30,33,22,33,31,15,24,34,34
25,24,24,25,23,23,9,14,25
44,38,16,43,40,19,43,43,44
39,39,26,38,37,31,16,35,39
39,40,33,40,40,37,5,35,40
31,33,24,29,34,26,14,25,34
19,20,17,20,20,12,7,3,20
35,40,15,37,43,16,7,36,43
33,34,30,32,28,30,10,9,34
27,29,22,27,30,25,27,11,30
23,30,20,29,30,26,15,27,30
32,31,25,32,32,31,31,10,32
25,37,36,37,38,33,21,36,38
39,43,36,43,41,25,38,12,43
36,35,19,34,37,35,12,38,38
9,31,26,31,30,27,23,31,31
24,24,24,24,24,17,15,24,24
22,26,25,28,28,21,10,14,28
3,23,23,23,23,15,22,4,23
8,29,26,27,31,30,13,16,31
33,32,19,32,33,17,33,17,33
5,28,25,25,26,25,11,24,28
41,41,42,42,42,31,9,29,42
14,37,21,37,37,25,23,36,37
11,26,18,26,25,26,23,23,26
30,47,21,53,54,43,22,46,54
43,44,25,42,46,36,28,24,46
34,35,44,50,50,40,37,3,50
20,34,21,33,36,34,27,31,36
34,32,20,36,35,36,28,32,36
23,31,19,31,32,22,23,30,32
18,28,29,29,26,20,28,21,29
18,34,34,32,33,24,29,5,34
16,31,26,29,31,24,9,31,31
40,36,22,42,42,31,12,38,42
44,45,23,45,45,29,27,44,45
41,45,37,43,46,39,45,45,46
34,35,16,38,38,30,21,33,38
29,29,22,29,29,18,22,8,29
33,32,24,32,32,33,15,30,33
27,32,30,35,33,19,22,36,36
29,30,28,30,28,17,28,23,30
14,27,23,27,26,27,11,14,27
34,50,37,48,51,32,24,35,51
17,40,32,41,46,22,13,17,46
36,34,34,38,37,38,30,33,38
4,31,22,31,31,25,19,16,31
30,30,29,31,29,27,31,16,31
42,42,41,41,39,39,16,38,42
39,36,14,37,39,24,6,39,39
30,35,32,34,35,35,14,32,35
57,57,51,57,58,43,30,59,59
31,32,25,33,34,33,33,2,34
49,44,22,42,48,46,42,44,49
33,38,41,39,43,41,29,28,43
36,32,23,39,39,35,7,6,39
35,52,38,51,51,37,48,21,52
38,39,17,39,40,26,12,37,40
31,34,16,34,32,16,9,27,34
35,41,35,40,41,36,13,40,41
23,25,24,24,25,25,10,19,25
40,40,21,41,41,41,37,34,41
34,36,25,36,35,21,9,35,36
27,28,27,26,29,26,11,25,29
42,46,40,42,44,12,34,43,46
27,29,17,29,31,20,12,17,31
41,41,39,35,42,38,36,29,42
34,44,15,43,44,16,31,16,44
27,36,28,37,37,18,23,38,38
31,31,29,31,30,24,6,22,31
37,37,28,35,37,21,17,10,37
56,61,23,58,58,46,16,49,61
29,36,27,34,37,36,35,21,37
42,41,33,41,42,16,15,40,42
25,36,23,38,35,36,25,13,38
35,39,36,40,40,18,15,20,40
32,30,32,32,32,19,14,22,32
32,32,24,34,34,27,22,17,34
36,37,28,37,37,25,36,28,37
11,27,26,24,25,27,26,28,28
24,27,26,26,27,22,13,6,27
35,35,22,37,38,37,11,22,38
24,29,28,32,30,32,24,31,32
12,25,25,25,25,15,11,15,25
11,18,16,17,16,14,15,3,18
35,34,26,34,36,21,8,17,36
38,35,32,37,37,27,29,35,38
22,34,27,32,35,32,12,26,35
32,32,28,32,30,30,32,29,32
25,30,15,28,30,20,15,21,30
34,35,35,35,34,31,15,17,35
32,31,27,31,32,19,8,15,32
28,31,28,30,31,29,25,31,31
28,34,22,36,33,31,7,10,36
32,42,15,41,41,18,24,36,42
27,29,21,28,29,22,14,6,29
24,31,26,31,32,28,25,19,32
32,28,28,31,32,30,6,11,32
51,53,21,52,50,35,33,50,53
42,43,35,45,45,44,15,28,45
21,25,22,25,23,23,23,4,25
23,47,35,46,48,37,32,45,48
39,39,23,32,36,32,16,21,39
28,40,21,39,40,26,39,7,40
30,40,33,38,39,36,7,40,40
31,39,25,40,39,38,10,25,40
37,44,31,48,47,19,45,34,48
43,41,43,44,44,41,15,37,44
43,43,39,41,44,28,32,39,44
44,42,25,42,42,39,40,43,44
18,25,20,23,25,20,14,18,25
19,24,24,25,21,14,8,20,25
35,35,15,36,36,25,21,17,36
29,34,31,36,36,19,31,28,36
16,18,18,18,18,15,13,6,18
39,39,27,36,40,34,27,33,40
41,40,26,41,41,41,13,39,41
40,49,22,45,50,49,11,39,50
28,28,26,30,26,22,24,27,30
29,29,25,30,30,26,26,15,30
12,26,23,25,26,24,13,4,26
41,41,37,42,42,30,8,42,42
20,37,18,36,38,30,10,22,38
19,35,34,32,34,33,24,34,35
26,28,26,27,28,14,20,26,28
17,27,25,27,27,25,12,17,27
45,43,42,42,45,28,13,40,45
25,38,30,39,41,33,13,40,41
37,36,35,36,34,26,25,32,37
30,30,29,31,32,28,22,31,32
42,43,42,39,44,32,18,43,44
45,49,37,48,50,42,36,49,50
25,39,21,40,36,21,15,37,40
26,26,18,23,25,14,12,18,26
55,57,45,56,56,39,16,54,57
29,34,23,32,35,34,32,33,35
14,30,29,28,27,25,26,28,30
37,31,23,39,39,34,30,22,39
28,32,38,31,37,18,11,35,38
41,46,32,41,44,45,26,40,46
58,45,47,59,59,47,51,45,59
44,47,25,50,53,45,38,13,53
30,35,18,35,30,28,13,3,35
