Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
33,38,36,39,40,7,22,31,40
19,33,35,35,35,28,9,13,35
31,31,15,34,34,31,16,31,34
28,34,23,33,33,30,5,32,34
32,43,41,43,41,39,13,40,43
31,28,26,33,33,15,8,28,33
29,32,21,25,34,24,30,33,34
33,29,34,33,32,9,10,33,34
9,29,31,32,32,29,31,4,32
18,30,21,30,29,18,10,27,30
34,32,22,31,33,26,17,3,34
26,27,20,27,27,25,16,2,27
25,29,25,27,28,12,16,29,29
18,27,26,26,28,20,21,22,28
29,42,42,43,43,22,7,25,43
10,31,32,30,30,14,22,22,32
37,49,25,51,51,50,9,41,51
19,29,27,29,29,27,9,20,29
25,32,22,33,33,9,27,22,33
3,31,21,25,31,27,27,32,32
31,31,29,26,33,11,23,2,33
4,31,22,29,30,14,18,6,31
30,33,25,36,37,34,11,30,37
34,40,31,42,41,10,28,25,42
38,41,20,40,41,14,17,36,41
31,33,24,33,28,17,11,24,33
22,24,21,23,24,24,14,20,24
11,26,23,27,26,26,16,19,27
34,34,33,34,35,35,19,9,35
34,34,33,29,32,20,7,33,34
2,34,16,31,33,14,15,34,34
28,36,30,36,36,21,31,31,36
43,43,26,43,42,16,36,38,43
35,35,32,38,38,14,10,34,38
7,31,30,31,29,13,7,14,31
31,38,21,37,36,16,21,20,38
8,27,18,28,29,16,19,3,29
27,37,38,39,33,22,8,33,39
29,34,29,28,33,25,24,23,34
20,29,24,28,30,11,19,16,30
36,32,20,38,37,21,14,16,38
20,22,22,22,21,22,15,14,22
34,34,23,37,38,8,16,2,38
35,36,26,34,33,10,9,36,36
17,39,38,38,41,35,40,41,41
27,28,22,27,27,16,8,16,28
30,31,27,29,31,16,29,27,31
33,33,23,34,34,23,7,32,34
13,28,25,26,27,19,26,28,28
23,46,27,44,48,13,15,29,48
33,34,27,33,33,31,12,32,34
34,41,32,39,42,35,16,34,42
11,21,18,20,20,14,18,2,21
23,32,25,31,34,27,12,29,34
11,36,22,30,36,30,24,36,36
31,33,23,33,33,27,13,31,33
20,25,24,24,15,12,10,12,25
18,31,31,31,26,19,18,3,31
28,34,17,33,35,22,25,19,35
25,27,21,23,27,23,17,21,27
39,39,36,36,38,30,36,37,39
28,44,34,44,44,38,10,35,44
2,30,18,31,31,19,20,30,31
20,29,25,30,29,21,7,2,30
14,42,23,38,41,33,7,29,42
46,46,47,48,50,13,37,50,50
22,25,20,25,22,17,8,19,25
33,33,20,26,30,31,11,19,33
21,28,24,27,28,20,25,18,28
28,32,28,28,32,30,21,17,32
31,33,30,35,34,19,18,24,35
31,32,25,32,29,28,27,8,32
18,33,20,27,31,20,24,28,33
22,32,33,29,26,24,23,34,34
33,36,27,35,35,18,33,34,36
27,29,28,28,29,8,14,20,29
10,34,24,33,33,24,32,31,34
46,49,48,55,55,30,39,31,55
42,42,37,44,44,25,10,36,44
35,34,29,32,37,21,36,34,37
5,30,30,30,30,11,25,21,30
29,35,22,34,36,27,25,30,36
51,58,58,54,58,11,20,51,58
24,27,27,27,27,17,19,15,27
32,36,37,32,37,24,20,13,37
5,30,24,30,32,24,18,30,32
42,42,19,41,44,18,14,43,44
16,33,27,42,42,26,20,38,42
10,35,34,35,33,30,28,31,35
34,36,28,35,36,11,27,33,36
3,34,37,33,38,16,15,37,38
23,30,24,28,25,21,11,28,30
46,35,49,49,49,18,47,39,49
27,28,22,26,29,14,5,27,29
14,31,31,31,30,17,16,18,31
32,33,32,31,32,16,21,31,33
10,29,22,31,31,12,10,24,31
3,27,18,27,26,26,13,24,27
43,45,29,46,49,28,36,47,49
13,39,19,41,41,20,29,36,41
11,28,21,27,27,12,11,2,28
35,33,33,35,33,24,28,33,35
12,36,20,36,35,20,15,8,36
24,33,24,28,32,11,7,31,33
31,33,27,27,34,31,15,31,34
43,41,31,35,39,24,26,44,44
27,30,16,30,30,15,9,5,30
23,31,32,31,29,16,23,28,32
25,40,29,41,42,22,12,35,42
35,35,31,36,36,14,25,35,36
4,35,24,35,34,21,32,17,35
6,33,34,34,35,25,21,2,35
28,45,38,44,45,12,11,43,45
33,34,20,30,32,16,16,34,34
4,36,26,35,35,19,11,36,36
12,36,37,35,34,26,28,24,37
25,50,39,43,50,20,8,37,50
6,28,28,27,30,12,17,11,30
16,34,34,33,34,11,10,28,34
41,44,40,44,45,44,10,19,45
20,36,33,33,36,16,6,33,36
17,36,22,34,30,25,6,22,36
14,39,25,37,37,13,33,34,39
