Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
36,35,34,32,37,16,26,29,37
13,29,22,29,26,21,18,28,29
28,35,21,37,38,24,24,16,38
35,36,31,36,36,26,11,18,36
23,27,22,19,28,16,14,21,28
4,29,24,30,28,26,13,9,30
11,28,19,28,29,13,14,18,29
35,39,40,40,38,17,36,37,40
31,30,30,28,30,20,19,3,31
4,31,28,32,34,19,33,31,34
6,30,21,29,30,23,14,25,30
33,40,33,38,39,34,18,38,40
28,29,16,21,26,12,14,16,29
12,25,25,24,24,22,14,2,25
37,40,21,41,41,17,37,3,41
25,39,15,37,41,15,38,17,41
11,37,39,37,42,37,26,32,42
47,40,31,50,50,47,14,42,50
30,39,15,37,40,13,13,24,40
43,41,36,41,42,21,33,24,43
15,40,22,38,40,17,19,23,40
34,32,26,35,34,20,31,23,35
11,29,26,25,28,16,10,25,29
38,35,19,39,39,14,5,36,39
3,25,24,26,24,21,10,19,26
31,31,27,30,30,17,9,31,31
5,39,35,36,39,17,37,7,39
23,27,21,27,28,15,21,19,28
23,28,28,27,27,15,6,25,28
32,39,32,38,33,25,37,31,39
17,28,27,29,29,24,8,26,29
30,29,18,30,30,16,11,24,30
12,27,23,23,27,20,24,4,27
28,33,18,33,32,17,29,5,33
29,29,20,26,29,13,7,23,29
22,33,24,33,35,30,31,32,35
23,32,27,32,33,9,7,3,33
29,31,18,30,28,15,30,17,31
26,35,37,37,37,31,21,19,37
16,38,38,41,40,9,33,39,41
37,37,23,31,37,32,13,18,37
28,30,27,30,30,26,28,8,30
15,39,24,38,38,10,7,31,39
5,25,23,24,24,12,24,22,25
2,40,32,35,41,33,23,28,41
32,31,29,32,29,20,16,28,32
26,29,20,30,25,19,16,28,30
36,41,36,42,41,25,42,31,42
27,28,23,30,29,16,12,26,30
22,34,17,29,35,23,10,36,36
20,22,22,22,21,12,10,22,22
6,22,16,22,20,10,21,3,22
16,22,16,22,22,19,16,7,22
25,33,19,33,30,18,16,32,33
21,35,22,30,36,29,10,32,36
28,37,29,35,37,19,32,36,37
27,28,19,24,27,18,20,3,28
8,26,26,22,26,25,25,2,26
17,30,29,32,31,32,32,30,32
34,36,20,35,37,16,8,36,37
37,37,33,35,38,20,31,37,38
42,42,40,42,38,28,6,35,42
23,37,24,36,38,21,19,35,38
40,40,42,38,42,21,8,43,43
35,38,33,38,36,21,18,7,38
14,43,34,40,42,12,4,18,43
35,36,31,32,34,28,11,36,36
13,33,26,26,33,17,14,8,33
2,28,26,26,27,12,13,26,28
4,34,32,34,32,13,12,27,34
22,28,27,29,29,18,14,3,29
5,37,22,37,38,11,14,29,38
16,20,20,20,15,14,15,9,20
14,28,27,27,29,14,25,25,29
24,27,18,28,27,19,7,18,28
17,24,22,23,25,14,22,3,25
26,40,33,46,46,20,20,47,47
29,49,30,49,49,43,12,44,49
20,31,23,30,22,21,31,7,31
4,38,25,30,35,17,16,30,38
4,26,21,22,26,16,25,18,26
17,27,22,27,27,23,19,4,27
14,32,20,32,31,14,20,6,32
33,31,26,34,34,21,20,31,34
20,24,13,25,25,18,15,24,25
23,38,38,38,39,14,30,37,39
7,37,26,38,40,21,24,26,40
4,29,25,28,30,21,10,19,30
17,36,21,38,39,27,24,15,39
30,34,20,29,34,15,20,28,34
9,30,19,31,31,12,30,28,31
19,37,26,31,40,27,32,3,40
6,28,28,28,28,22,14,3,28
12,26,15,28,30,27,8,3,30
22,31,22,31,33,33,19,2,33
26,42,20,42,41,21,42,40,42
4,34,19,30,34,25,16,12,34
32,33,33,25,33,25,15,15,33
8,39,23,39,38,31,39,34,39
26,32,22,36,36,35,17,35,36
17,28,23,26,29,19,25,15,29
20,32,27,29,35,12,23,26,35
29,28,15,30,31,21,12,25,31
40,46,44,44,46,17,18,26,46
1,26,25,25,26,25,25,18,26
24,25,19,25,26,12,12,20,26
6,45,27,41,46,21,9,32,46
10,30,31,31,31,25,24,23,31
27,28,25,28,27,15,15,17,28
29,31,32,30,33,16,9,31,33
37,38,34,37,38,24,16,27,38
10,26,20,26,23,24,25,25,26
36,39,29,35,35,23,17,32,39
33,34,30,32,35,15,17,24,35
20,39,32,40,38,25,31,25,40
26,29,23,27,27,13,8,19,29
37,41,32,40,41,35,21,4,41
27,32,31,28,32,28,26,31,32
38,38,34,37,38,26,26,37,38
23,40,19,32,41,24,11,6,41
13,24,26,25,24,22,21,4,26
23,32,20,32,31,12,8,21,32
18,32,16,30,31,18,20,30,32
7,35,18,38,38,21,10,37,38
15,35,29,33,34,18,25,27,35
35,37,25,38,38,21,32,31,38
24,32,31,30,29,22,16,31,32
32,38,24,35,37,14,13,17,38
22,30,24,28,30,20,24,25,30
31,48,40,47,50,26,25,48,50
16,29,30,27,30,12,25,27,30
30,44,35,42,44,15,23,37,44
33,36,19,34,35,30,32,36,36
3,28,19,27,27,19,9,13,28
8,23,18,23,22,20,12,2,23
14,28,12,28,28,24,18,23,28
29,30,25,23,32,23,3,14,32
9,31,29,32,30,24,31,29,32
20,24,19,24,25,21,15,20,25
1,40,33,38,39,26,27,16,40
20,34,28,34,33,18,26,29,34
3,32,30,32,35,19,35,21,35
17,34,26,33,35,25,8,9,35
22,34,28,32,34,27,33,16,34
3,40,34,39,42,17,23,32,42
2,30,30,29,30,24,14,14,30
40,39,29,39,39,13,28,3,40
25,28,18,28,27,20,6,25,28
25,29,27,29,27,24,11,27,29
